Name + ORG,ID,Name,ORG,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
Kaden Macleod New,35000,Kaden Macleod,New York Mets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter McDowell Kan,7300,Hunter McDowell,Kansas City Monarchs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Meehan Atl,26848,Zach Meehan,Atlanta Hammers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrián Mendietta Col,36181,Adrián Mendietta,Colorado Rockies,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barton Messick Bal,27975,Barton Messick,Baltimore Orioles,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Moore Phi,5900,Elijah Moore,Philadelphia Phillies,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Mostiller Ana,22385,Harry Mostiller,Anaheim Angels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tatashi Omoto Los,35557,Tatashi Omoto,Los Angeles Dodgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Overholt Flo,26931,Ray Overholt,Florida Marlins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Owens Tex,37218,Bryan Owens,Texas Rangers,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Patterson St.,13542,Alex Patterson,St. Louis Cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Pérez Chi,25130,Manuel Pérez,Chicago Cubs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Renteria Hou,29014,Jeff Renteria,Houston Astros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brayden Rodeffer St.,19742,Brayden Rodeffer,St. Louis Cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jovanny Ruiz Ana,26512,Jovanny Ruiz,Anaheim Angels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amad Salcedo Pit,26997,Amad Salcedo,Pittsburgh Pirates,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Salerno Sea,30613,Alan Salerno,Seattle Mariners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Schmidt St.,28073,Jake Schmidt,St. Louis Cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lou Shouse Cin,35143,Lou Shouse,Cincinnati Reds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Silva Ari,35525,Gabriel Silva,Arizona Diamondbacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joss St. Clair San,32803,Joss St. Clair,San Francisco Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Stallworth San,35024,Ethan Stallworth,San Diego Padres,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Stoll Ana,35152,Jack Stoll,Anaheim Angels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Swindoll Chi,5651,Victor Swindoll,Chicago Cubs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrián Sánchez Mon,29567,Adrián Sánchez,Montreal Expos,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walter Trifari Tam,36724,Walter Trifari,Tampa Bay Devil Rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inácio Trujillo Hou,27468,Inácio Trujillo,Houston Astros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Urrea Phi,28817,Martin Urrea,Philadelphia Phillies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wynn Vandross Was,35169,Wynn Vandross,Washington Nationals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deven Watkins Flo,37249,Deven Watkins,Florida Marlins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Weeks New,8496,Chase Weeks,New York Mets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damian Welker Det,14840,Damian Welker,Detroit Tigers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Wentz Los,35053,Cameron Wentz,Los Angeles Dodgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedric White Min,32614,Cedric White,Minnesota Twins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callum Whitener Ana,29977,Callum Whitener,Anaheim Angels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Whitted Was,26485,Carlos Whitted,Washington Nationals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Williamson Ana,18882,Bryce Williamson,Anaheim Angels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton Willwerth Cle,34823,Milton Willwerth,Cleveland Guardians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walter Trifari Tam,36724,Walter Trifari,Tampa Bay Devil Rays,5,148,145,345,253,83,9,26,0,8,0,0,1298.2,0,0,211,203,62,57,39,33,24,17,27,10,6,0,0
Augusto Cattaneo Chi,34966,Augusto Cattaneo,Chicago White Sox,5,147,145,350,244,92,14,26,0,3.2,0,0,1288,0,0,232,222,64,54,28,21,28,17,23,10,5,0,0
Tomas Aguayo Flo,22635,Tomas Aguayo,Florida Marlins,5,147,147,361,254,89,18,29,0,-2.2,0,0,1283.2,0,0,249,235,63,52,37,29,22,10,24,6,5,0,0
Zach Meehan Atl,26848,Zach Meehan,Atlanta Hammers,5,150,146,345,239,95,11,25,0,2.3,0,0,1276,0,0,234,223,53,49,37,29,19,13,31,6,1,0,0
Isaac Knott Oak,1422,Isaac Knott,Oakland Athletics,5,145,145,352,238,103,11,24,0,-1.1,0,0,1269.1,0,0,236,224,67,62,33,25,18,5,30,6,3,0,0
Pasqualino Pino New,29158,Pasqualino Pino,New York Yankees,5,146,142,375,275,89,11,30,0,0.2,0,0,1267.2,0,0,260,255,62,52,40,30,19,8,34,7,4,0,0
Cristopher Jalil Chi,26984,Cristopher Jalil,Chicago Cubs,5,139,139,326,243,68,15,25,0,0.2,0,0,1230,0,0,214,204,57,46,39,30,20,9,29,11,6,0,0
Dave Angulo Was,35093,Dave Angulo,Washington Nationals,5,148,148,307,216,78,13,23,0,-2,0,0,1225,0,0,199,191,50,41,37,26,23,13,32,8,3,0,0
Alfie Hou Ari,25219,Alfie Hou,Arizona Diamondbacks,5,142,142,335,252,69,14,29,0,-2.1,0,0,1215.2,0,0,224,209,63,55,36,29,29,13,29,7,10,0,0
Berenger Goethals Min,35072,Berenger Goethals,Minnesota Twins,5,138,133,327,223,90,14,26,0,-2.8,0,0,1194.2,0,0,230,219,58,52,21,14,25,8,29,9,1,0,0
Alan Salerno Sea,30613,Alan Salerno,Seattle Mariners,5,140,139,278,201,60,17,18,0,-2.9,0,0,1189.1,0,0,187,176,49,42,26,20,26,13,19,3,4,0,0
Heraculamo Mayor Jr. Det,25846,Heraculamo Mayor Jr.,Detroit Tigers,5,130,128,299,224,65,10,15,0,4,0,0,1136,0,0,206,197,46,40,32,28,14,9,25,7,6,0,0
Brian Lontz Los,25861,Brian Lontz,Los Angeles Dodgers,5,129,129,298,209,76,13,19,0,1.7,0,0,1101.2,0,0,189,174,57,52,36,29,20,12,22,6,8,0,0
Parker Coté Bos,29957,Parker Coté,Boston Red Sox,5,126,117,286,215,62,9,11,0,2.4,0,0,1061,0,0,192,181,49,44,35,23,14,7,25,13,2,0,0
Marlon Hartrick Kan,15924,Marlon Hartrick,Kansas City Monarchs,5,119,118,259,184,63,12,13,0,1.4,0,0,1057.1,0,0,177,167,39,34,26,21,17,13,21,8,5,0,0
Mitch Loomis Col,20324,Mitch Loomis,Colorado Rockies,5,118,117,287,209,65,13,21,0,2,0,0,1050.1,0,0,173,165,67,60,20,16,25,14,31,11,4,0,0
Maxwell Maunu Hou,22928,Maxwell Maunu,Houston Astros,5,119,119,311,228,74,9,23,0,3,0,0,1048,0,0,203,193,56,50,30,24,20,12,25,9,2,0,0
Steve Wolfarth San,17132,Steve Wolfarth,San Diego Padres,5,120,120,280,199,71,10,14,0,-0.3,0,0,1047.1,0,0,189,178,47,42,31,23,11,6,29,5,4,0,0
Damian Welker Det,14840,Damian Welker,Detroit Tigers,5,124,114,269,190,67,12,26,0,-2.9,0,0,1040.1,0,0,194,181,47,42,21,16,24,9,22,3,4,0,0
Barton Messick Bal,27975,Barton Messick,Baltimore Orioles,5,123,120,274,212,57,5,21,0,4.2,0,0,1039,0,0,187,179,49,46,30,22,16,6,21,7,4,0,-0.1
Elijah Moore Phi,5900,Elijah Moore,Philadelphia Phillies,5,111,109,255,187,67,1,16,0,8.6,0,0,995,0,0,179,176,34,32,19,17,10,8,21,7,4,0,0
Jeff Guttery Cin,37340,Jeff Guttery,Cincinnati Reds,5,106,106,279,207,66,6,24,0,4.6,0,0,957.1,0,0,203,198,39,35,21,15,18,12,24,6,5,0,0
Jake Schmidt St.,28073,Jake Schmidt,St. Louis Cardinals,5,109,108,246,167,69,10,10,0,-0.5,0,0,943.1,0,0,171,162,41,35,20,15,22,11,30,6,4,0,0
Júnior Gallegos Mon,29676,Júnior Gallegos,Montreal Expos,5,116,106,260,192,63,5,23,0,-5.4,0,0,925,0,0,190,183,54,47,18,11,21,5,22,3,4,0,0
Isaiah Holtz Pit,23052,Isaiah Holtz,Pittsburgh Pirates,5,109,100,240,183,52,5,11,0,3.4,0,0,862,0,0,153,144,48,44,26,23,23,14,16,5,1,0,0
Jeremiah Hiltunen Kan,7161,Jeremiah Hiltunen,Kansas City Monarchs,5,99,97,222,158,58,6,12,0,-0.6,0,0,857,0,0,153,145,43,39,19,11,20,9,18,6,8,0,0
Eugene Blumer San,37188,Eugene Blumer,San Francisco Giants,5,101,100,221,163,55,3,12,0,0.7,0,0,837.1,0,0,159,152,35,32,25,17,12,6,17,5,4,0,0
Callum Whitener Ana,29977,Callum Whitener,Anaheim Angels,5,93,93,191,128,52,11,11,0,-3.3,0,0,789,0,0,128,113,31,27,21,16,15,9,17,7,4,0,0
Grover Melville Cle,1426,Grover Melville,Cleveland Guardians,5,92,92,205,133,63,9,18,0,-0.7,0,0,779,0,0,146,139,33,27,10,7,16,9,16,4,3,0,0
Roberto Espinoza New,37121,Roberto Espinoza,New York Mets,5,70,70,148,103,41,4,14,0,-2.6,0,0,619,0,0,107,100,20,19,22,14,7,2,12,2,2,0,0
Bryan Owens Tex,37218,Bryan Owens,Texas Rangers,5,69,67,145,94,46,5,5,0,1.9,0,0,574,0,0,98,93,26,26,8,5,10,7,9,4,1,0,0
Daniel Temple Kan,26343,Daniel Temple,Kansas City Royals,5,67,66,183,130,46,7,10,0,1.2,0,0,568,0,0,141,136,21,18,9,8,8,4,20,5,1,0,0
Steve Caulfield Mil,37242,Steve Caulfield,Milwaukee Brewers,5,77,75,150,110,34,6,11,0,-1.5,0,0,567,0,0,111,106,21,20,10,4,18,7,8,3,2,0,0
Jonas Alcantar Kan,32746,Jonas Alcantar,Kansas City Royals,5,74,46,142,99,39,4,10,0,1.3,0,0,477.1,0,0,96,94,20,16,12,8,8,5,18,7,1,0,0
Amad Salcedo Pit,26997,Amad Salcedo,Pittsburgh Pirates,5,57,51,107,78,26,3,8,0,-2.8,0,0,445.2,0,0,80,76,19,17,10,5,5,2,10,0,2,0,0
José Pérez Ana,32513,José Pérez,Anaheim Angels,5,80,36,97,70,23,4,8,0,0.1,0,0,420.2,0,0,67,65,19,14,7,4,8,5,9,3,3,0,0
Joe Blackmon Mil,35082,Joe Blackmon,Milwaukee Brewers,5,54,53,107,78,26,3,12,0,0.5,0,0,420.1,0,0,76,71,20,20,8,5,4,2,8,2,4,0,0
Owen Guariglia Bal,15104,Owen Guariglia,Baltimore Orioles,5,60,42,96,67,24,5,7,0,0.6,0,0,419,0,0,58,56,21,20,7,5,12,4,13,2,1,0,0
Nicolas Anguiano New,36248,Nicolas Anguiano,New York Mets,5,49,46,96,71,22,3,5,0,-2.2,0,0,397.2,0,0,72,66,15,13,9,6,10,4,7,1,1,0,0
Clint Faul Mon,7474,Clint Faul,Montreal Expos,5,51,40,95,70,21,4,8,0,-1.9,0,0,362,0,0,64,59,15,13,13,9,9,5,7,2,1,0,0
Harry Mostiller Ana,22385,Harry Mostiller,Anaheim Angels,5,46,46,87,58,25,4,8,0,-0.1,0,0,361,0,0,59,56,19,17,6,6,5,2,3,0,1,0,0
Yanier Peña New,9901,Yanier Peña,New York Mets,5,45,41,104,76,27,1,6,0,1.2,0,0,357.2,0,0,74,74,21,18,5,4,5,3,12,1,2,0,0
Daniel Muso St.,26337,Daniel Muso,St. Louis Cardinals,5,41,35,93,60,28,5,3,0,0.2,0,0,324.1,0,0,68,65,7,5,8,6,5,5,14,2,3,0,0
Carter McTaggart Kan,37195,Carter McTaggart,Kansas City Royals,5,42,42,70,51,18,1,10,0,-0.9,0,0,309.1,0,0,51,47,13,11,5,5,2,2,14,2,0,0,0
Jayden Krause Cin,33687,Jayden Krause,Cincinnati Reds,5,36,33,81,62,18,1,3,0,-0.9,0,0,298,0,0,60,57,15,14,6,6,5,1,5,1,0,0,0
Minor Coad San,19601,Minor Coad,San Francisco Giants,5,62,26,77,56,20,1,8,0,0.9,0,0,277,0,0,52,49,13,13,9,8,5,4,4,0,2,0,0
Dan Brinkman Tex,23192,Dan Brinkman,Texas Rangers,5,39,28,71,47,21,3,8,0,-0.4,0,0,275.2,0,0,52,49,15,14,3,2,1,1,4,1,1,0,0
Juan Calderon Cle,35904,Juan Calderon,Cleveland Guardians,5,32,32,74,49,23,2,6,0,1.2,0,0,274.1,0,0,53,51,10,10,8,7,2,0,3,1,1,0,0
Némesis Álvarez Kan,33351,Némesis Álvarez,Kansas City Monarchs,5,29,28,70,49,16,5,5,0,-1.5,0,0,247.2,0,0,47,45,15,11,7,4,5,2,10,2,0,0,0
Ethan Jones Det,15721,Ethan Jones,Detroit Tigers,5,31,30,73,55,16,2,8,0,-0.1,0,0,246,0,0,45,43,12,12,9,6,9,6,4,0,3,0,0
Owen McDougal San,37339,Owen McDougal,San Francisco Giants,5,44,23,78,56,17,5,7,0,0.5,0,0,240.2,0,0,50,46,16,14,4,4,6,4,3,2,1,0,0
Tatashi Omoto Los,35557,Tatashi Omoto,Los Angeles Dodgers,5,45,21,57,42,12,3,6,0,-0.2,0,0,238.1,0,0,39,38,10,10,2,1,7,4,6,1,1,0,0
Colton Stribling Was,30601,Colton Stribling,Washington Nationals,5,75,14,43,30,12,1,4,0,-0.8,0,0,231,0,0,27,25,15,13,3,1,2,1,5,0,1,0,0
Christopher Charest Ari,32479,Christopher Charest,Arizona Diamondbacks,5,43,19,61,45,13,3,7,0,-1.2,0,0,230.2,0,0,37,34,15,14,8,5,2,0,7,2,1,0,0
Conor McGee Mil,15945,Conor McGee,Milwaukee Brewers,5,52,12,62,45,16,1,1,0,2.7,0,0,214.1,0,0,43,42,8,8,6,3,2,2,4,4,3,0,0
Wade Klaassen Tor,33114,Wade Klaassen,Toronto Blue Jays,5,22,22,42,31,10,1,0,0,0.4,0,0,191,0,0,31,28,6,6,5,5,0,0,7,2,2,0,0
Hsieh Chiou Chi,40231,Hsieh Chiou,Chicago Cubs,5,22,21,57,45,7,5,8,0,-2.9,0,0,184.1,0,0,49,44,5,4,4,3,3,1,3,0,2,0,0
Pedro Deniz Col,23340,Pedro Deniz,Colorado Rockies,5,20,19,35,26,7,2,0,0,-3.3,0,0,170,0,0,32,27,6,5,2,0,1,0,5,0,1,0,0
Wayne Broberg Min,34900,Wayne Broberg,Minnesota Twins,5,21,18,49,31,17,1,7,0,1.9,0,0,160,0,0,27,27,16,14,1,1,6,4,2,0,0,0,0
Victor Gosselin Phi,29616,Victor Gosselin,Philadelphia Phillies,5,20,17,46,40,5,1,3,0,-0.3,0,0,160,0,0,27,25,11,10,6,5,5,2,2,1,0,0,0
Ramin Bent Sea,27873,Ramin Bent,Seattle Mariners,5,35,9,43,35,6,2,5,0,-0.3,0,0,154,0,0,34,32,5,4,4,4,1,0,2,0,1,0,0
Vic Calfee Bos,29490,Vic Calfee,Boston Red Sox,5,29,17,35,27,6,2,2,0,-1.9,0,0,151,0,0,27,24,5,5,4,3,5,1,2,0,0,0,0
Daniel Estrada Cin,31435,Daniel Estrada,Cincinnati Reds,5,20,16,46,34,11,1,4,0,0.6,0,0,142.2,0,0,28,28,7,6,9,8,3,2,2,0,1,0,0
Jacob Keen Hou,34978,Jacob Keen,Houston Astros,5,30,15,38,31,7,0,3,0,1.3,0,0,142.1,0,0,21,21,9,9,5,4,3,3,4,0,0,0,0
Greg Shore San,18812,Greg Shore,San Diego Padres,5,28,14,45,33,9,3,0,0,-0.3,0,0,141.1,0,0,27,26,11,10,5,3,7,3,1,0,0,0,0
Gildardo Lares Mon,35491,Gildardo Lares,Montreal Expos,5,22,15,41,28,10,3,3,0,-0.7,0,0,140,0,0,27,25,8,6,5,3,2,0,6,3,1,0,0
Thomas Rietbergen Atl,25003,Thomas Rietbergen,Atlanta Hammers,5,19,14,26,19,7,0,3,0,-0.3,0,0,132.2,0,0,20,19,4,4,3,2,2,0,2,0,1,0,0
Russ Greene Cle,13537,Russ Greene,Cleveland Guardians,5,17,15,38,24,13,1,1,0,0.6,0,0,132.1,0,0,28,27,5,5,1,1,3,3,4,0,0,0,0
Quentin Ketron Sea,14794,Quentin Ketron,Seattle Mariners,5,19,13,40,27,12,1,1,0,-1.1,0,0,124,0,0,29,27,5,5,4,2,4,2,2,0,1,0,0
Myles Ligon San,16648,Myles Ligon,San Francisco Giants,5,15,12,34,24,9,1,3,0,0.5,0,0,117,0,0,21,21,5,5,5,3,4,3,2,0,0,0,0
A.J. Van Sciver Pit,25426,A.J. Van Sciver,Pittsburgh Pirates,5,21,11,29,18,10,1,0,0,-0.6,0,0,116,0,0,21,19,3,2,6,4,3,1,3,0,1,0,0
Marcino Rendon Cle,37482,Marcino Rendon,Cleveland Guardians,5,15,12,35,28,7,0,1,0,0.5,0,0,114.2,0,0,22,22,8,7,3,2,4,2,2,1,0,0,0
Grayson Hannah Col,37476,Grayson Hannah,Colorado Rockies,5,13,13,26,18,7,1,1,0,-0.8,0,0,114,0,0,19,18,6,5,3,2,3,0,0,0,0,0,0
Conor Jones Bos,24220,Conor Jones,Boston Red Sox,5,14,14,36,26,8,2,5,0,-1.2,0,0,111,0,0,31,28,3,3,3,1,1,0,0,0,0,0,0
Edward R. Newsome Chi,27786,Edward R. Newsome,Chicago Cubs,5,15,13,38,25,12,1,3,0,0.2,0,0,110,0,0,27,25,9,9,2,2,0,0,3,1,1,0,0
Bryce Williamson Ana,18882,Bryce Williamson,Anaheim Angels,5,12,12,30,20,8,2,3,0,-0.2,0,0,106.2,0,0,21,19,6,6,0,0,1,1,1,0,0,0,0
Xander Berger Tor,18647,Xander Berger,Toronto Blue Jays,5,19,9,30,17,11,2,0,0,-0.8,0,0,106.1,0,0,22,21,3,3,5,2,2,1,0,0,0,0,0
Matt Watson New,39144,Matt Watson,New York Yankees,5,14,12,28,17,11,0,2,0,0,0,0,105.1,0,0,17,16,6,6,3,3,5,2,4,0,0,0,0
Jackson Cunningham Min,37614,Jackson Cunningham,Minnesota Twins,5,11,11,30,26,3,1,2,0,-0.3,0,0,104,0,0,22,21,5,4,2,2,2,0,3,2,0,0,0
Max Coronado Tex,13487,Max Coronado,Texas Rangers,5,20,9,38,30,7,1,2,0,0.6,0,0,102.1,0,0,25,24,7,7,5,4,2,0,3,1,1,0,0
Gabriel Martínez Tam,25128,Gabriel Martínez,Tampa Bay Devil Rays,5,16,11,36,26,10,0,4,0,0.1,0,0,97.2,0,0,24,24,7,6,5,4,1,0,0,0,2,0,0
Alex Patterson St.,13542,Alex Patterson,St. Louis Cardinals,5,11,11,30,22,6,2,4,0,-0.5,0,0,97,0,0,20,19,5,5,5,3,0,0,4,0,0,0,0
Luca Weeks Ana,1766,Luca Weeks,Anaheim Angels,5,11,11,21,15,6,0,1,0,0.2,0,0,96.1,0,0,15,14,5,4,2,2,2,1,2,0,0,0,0
Eliezer Guillen Phi,34041,Eliezer Guillen,Philadelphia Phillies,5,12,11,29,21,7,1,4,0,0.2,0,0,94,0,0,20,19,3,3,3,3,2,1,3,1,0,0,0
Emmanuel Montemayor Cle,19250,Emmanuel Montemayor,Cleveland Guardians,5,14,10,29,20,9,0,6,0,1.1,0,0,91,0,0,22,21,5,5,0,0,1,1,3,1,0,0,0
Roger McGlynn Det,24237,Roger McGlynn,Detroit Tigers,5,8,8,26,18,8,0,3,0,0.7,0,0,82.2,0,0,19,19,5,4,2,2,1,0,2,1,0,0,0
Jesús Mendez Los,29944,Jesús Mendez,Los Angeles Dodgers,5,11,8,30,18,12,0,2,0,1.2,0,0,81.2,0,0,19,19,4,4,4,4,1,1,1,1,0,0,0
Jude Sager Oak,33995,Jude Sager,Oakland Athletics,5,10,9,17,13,2,2,0,0,-0.8,0,0,80,0,0,8,8,3,3,4,2,2,0,3,1,1,0,0
Jeb O'Doherty Ana,32669,Jeb O'Doherty,Anaheim Angels,5,10,9,26,18,7,1,0,0,0.1,0,0,79,0,0,16,14,5,5,3,3,2,1,1,1,1,0,0
Yovanny Martínez Col,22949,Yovanny Martínez,Colorado Rockies,5,9,9,17,11,6,0,1,0,-0.5,0,0,76,0,0,13,13,3,2,2,1,0,0,2,0,0,0,0
Kristopher Polster Flo,27700,Kristopher Polster,Florida Marlins,5,10,8,32,24,5,3,1,0,-1.6,0,0,75,0,0,23,19,7,7,4,3,1,0,2,0,0,0,0
Aiden Casteel Kan,35159,Aiden Casteel,Kansas City Monarchs,5,8,8,29,23,6,0,2,0,0.2,0,0,69,0,0,22,22,6,6,2,1,1,0,2,0,1,0,0
Justen Atwood Cin,4072,Justen Atwood,Cincinnati Reds,5,7,7,17,11,6,0,1,0,-0.4,0,0,63,0,0,11,11,3,3,2,0,4,1,4,2,0,0,0
Brayden Rodeffer St.,19742,Brayden Rodeffer,St. Louis Cardinals,5,7,7,16,11,2,3,3,0,-1.5,0,0,63,0,0,12,9,2,1,3,3,0,0,4,0,1,0,0
Bram van der Horst New,38942,Bram van der Horst,New York Yankees,5,7,7,15,10,5,0,1,0,0.2,0,0,58.2,0,0,11,11,2,1,2,2,0,0,3,1,0,0,0
Ken Richards Chi,37806,Ken Richards,Chicago White Sox,5,8,6,20,12,6,2,1,0,-1,0,0,56,0,0,14,12,4,3,0,0,3,1,1,0,1,0,0
Brian Sherry Phi,7282,Brian Sherry,Philadelphia Phillies,5,10,4,18,11,5,2,0,0,-1,0,0,51.2,0,0,12,10,4,3,1,1,2,2,0,0,0,0,0
Alex Conklin Chi,32709,Alex Conklin,Chicago White Sox,5,8,6,16,12,3,1,2,0,0.1,0,0,50,0,0,12,11,2,2,1,0,1,1,2,0,0,0,0
Ethan Grimes Ari,18326,Ethan Grimes,Arizona Diamondbacks,5,14,3,9,7,2,0,1,0,0.5,0,0,49,0,0,6,6,1,1,0,0,1,1,1,0,0,0,0
Martin Urrea Phi,28817,Martin Urrea,Philadelphia Phillies,5,5,5,14,8,6,0,0,0,0.2,0,0,46,0,0,9,9,2,1,1,1,3,2,0,0,0,0,0
Penn Lord Phi,13220,Penn Lord,Philadelphia Phillies,5,6,6,20,14,5,1,1,0,-1,0,0,43,0,0,15,14,4,3,3,1,1,0,1,1,0,0,0
Trevor Zagalo Flo,14803,Trevor Zagalo,Florida Marlins,5,5,5,12,6,5,1,0,0,-0.8,0,0,43,0,0,9,8,0,0,3,1,0,0,4,1,0,0,0
Vito Cedeño Phi,24662,Vito Cedeño,Philadelphia Phillies,5,5,4,11,8,0,3,0,0,-1.9,0,0,40,0,0,8,5,2,2,1,0,1,1,1,0,1,0,0
Todd Hillyer Cle,35052,Todd Hillyer,Cleveland Guardians,5,11,1,15,11,3,1,2,0,-0.3,0,0,39.1,0,0,13,11,1,1,1,1,1,1,0,0,1,0,0
Hyman Jones Kan,27291,Hyman Jones,Kansas City Royals,5,8,4,5,5,0,0,0,0,0.1,0,0,38,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0
Abie Ramey Los,32178,Abie Ramey,Los Angeles Dodgers,5,4,4,8,5,2,1,2,0,-1,0,0,37,0,0,7,6,0,0,0,0,1,0,2,0,0,0,0
Isaac Toscano Col,32141,Isaac Toscano,Colorado Rockies,5,4,4,7,5,2,0,0,0,0.5,0,0,35,0,0,5,5,0,0,0,0,0,0,3,2,0,0,0
Yovani Valdez Kan,32877,Yovani Valdez,Kansas City Royals,5,4,4,17,15,2,0,1,0,0.5,0,0,35,0,0,10,10,3,3,2,2,1,1,2,1,0,0,0
Chase Weeks New,8496,Chase Weeks,New York Mets,5,8,2,10,6,4,0,0,0,0.3,0,0,34.2,0,0,7,7,1,1,1,1,0,0,3,1,0,0,0
Sílvio Cherubini Oak,33412,Sílvio Cherubini,Oakland Athletics,5,4,4,13,9,4,0,1,0,0,0,0,34,0,0,9,9,2,2,1,1,2,1,1,0,0,0,0
Simon Becerra Kan,16327,Simon Becerra,Kansas City Monarchs,5,6,3,9,6,3,0,0,0,0.1,0,0,33,0,0,7,7,1,1,0,0,0,0,1,0,0,0,0
Eddie Cooney Tam,35539,Eddie Cooney,Tampa Bay Devil Rays,5,5,4,3,2,1,0,0,0,0,0,0,33,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0
Christian Westgate Chi,19832,Christian Westgate,Chicago White Sox,5,7,3,6,4,1,1,1,0,-0.5,0,0,32,0,0,4,3,0,0,2,2,1,0,0,0,2,0,0
